ID,State,Crop,Season,Soil_Type,Year,Area_Hectares,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Nitrogen_kg,Phosphorus_kg,Potassium_kg,Yield_Quintal_per_Hectare,Production_Quintals
500,Punjab,Sugarcane,Zaid,Laterite,2022,16.03,63.0,31.0,71.0,7.7,36.3,27.0,33.3,65.95,1057.18
501,MP,Wheat,Kharif,Alluvial,2018,22.85,228.4,34.2,72.2,5.0,91.3,27.6,47.3,43.22,987.58
502,Karnataka,Maize,Zaid,Clay,2022,1.53,120.4,17.1,53.9,6.1,65.3,50.9,30.7,44.83,68.59
503,MP,Rice,Zaid,Sandy,2011,4.91,293.5,20.0,75.6,5.2,68.1,28.6,16.7,50.3,246.97
504,Tamil Nadu,Wheat,Zaid,Alluvial,2022,39.22,280.0,26.3,73.8,5.0,105.6,15.5,43.8,50.91,1996.69
505,Tamil Nadu,Cotton,Rabi,Clay,2012,39.73,157.8,20.2,44.0,7.8,107.2,15.4,13.1,30.02,1192.69
506,MP,Soybean,Rabi,Sandy,2015,11.0,195.7,31.2,35.6,6.4,124.6,58.6,22.9,29.56,325.16
507,Maharashtra,Barley,Rabi,Clay,2011,48.38,73.8,16.5,51.6,5.4,129.0,59.8,47.3,29.37,1420.92
508,Tamil Nadu,Rice,Rabi,Alluvial,2014,24.9,294.4,31.8,38.6,8.1,24.9,14.9,12.6,46.6,1160.34
509,Haryana,Sugarcane,Kharif,Laterite,2015,14.41,227.6,25.8,46.9,5.8,137.4,32.5,48.8,78.69,1133.92
510,Karnataka,Cotton,Rabi,Sandy,2016,40.01,273.2,22.9,94.6,7.6,38.2,51.9,34.6,26.41,1056.66
511,Punjab,Rice,Kharif,Black,2013,22.36,95.8,26.8,40.6,6.4,33.9,54.2,27.3,50.33,1125.38
512,UP,Potato,Kharif,Laterite,2011,33.33,137.4,20.1,48.5,7.8,110.0,50.2,30.3,37.71,1256.87
513,UP,Soybean,Kharif,Sandy,2016,6.54,280.1,21.2,62.4,4.9,59.4,20.6,49.2,24.45,159.9
514,Punjab,Wheat,Kharif,Red,2011,2.67,165.1,32.7,61.2,7.0,52.3,41.2,19.8,43.11,115.1
515,UP,Potato,Zaid,Red,2013,5.08,265.8,35.0,48.4,7.7,109.3,35.1,32.1,38.33,194.72
516,MP,Barley,Kharif,Alluvial,2012,36.93,147.1,25.1,72.1,8.3,38.5,21.4,41.0,30.74,1135.23
517,UP,Cotton,Zaid,Clay,2015,21.44,216.4,35.8,63.3,6.5,126.2,31.2,30.3,22.97,492.48
518,Tamil Nadu,Maize,Zaid,Laterite,2011,31.66,60.1,23.5,60.1,5.4,102.3,13.5,27.3,38.2,1209.41
519,Tamil Nadu,Wheat,Rabi,Red,2011,15.13,276.8,26.9,39.7,5.0,128.3,51.3,28.5,47.69,721.55
520,Tamil Nadu,Rice,Kharif,Sandy,2016,6.14,73.6,31.5,67.0,5.5,50.6,9.5,27.7,45.27,277.96
521,Tamil Nadu,Potato,Kharif,Black,2010,13.62,70.8,36.9,49.3,6.8,74.6,41.9,33.1,36.62,498.76
522,Haryana,Maize,Kharif,Black,2021,32.96,295.5,21.5,73.8,6.2,22.1,26.7,5.6,46.1,1519.46
523,Gujarat,Potato,Rabi,Clay,2014,6.69,204.6,39.3,53.4,7.2,102.8,26.7,18.6,36.42,243.65
524,Punjab,Rice,Kharif,Clay,2013,38.6,170.3,18.6,45.7,7.9,123.0,34.6,8.9,54.1,2088.26
525,Punjab,Maize,Rabi,Laterite,2011,10.47,91.5,18.8,75.7,8.4,76.6,52.3,31.3,40.67,425.81
526,Haryana,Rice,Kharif,Red,2020,2.33,261.9,25.8,57.0,6.5,89.4,45.2,50.0,52.56,122.46
527,Gujarat,Barley,Zaid,Laterite,2013,23.93,228.6,28.2,57.4,5.8,27.6,54.1,23.8,23.05,551.59
528,Tamil Nadu,Sugarcane,Zaid,Laterite,2010,46.13,90.3,33.2,60.5,6.3,80.9,37.3,35.8,72.69,3353.19
529,Tamil Nadu,Potato,Rabi,Black,2016,14.48,258.3,31.8,77.7,7.7,116.0,51.4,33.0,40.22,582.39
530,UP,Maize,Kharif,Black,2019,18.26,173.0,34.8,91.3,6.5,48.2,35.6,50.0,39.38,719.08
531,UP,Cotton,Zaid,Red,2012,11.59,257.0,37.4,32.1,4.8,71.7,39.0,10.4,20.0,231.8
532,Maharashtra,Sugarcane,Zaid,Alluvial,2012,48.15,263.4,36.8,69.3,4.9,26.1,57.0,41.0,77.8,3746.07
533,Haryana,Wheat,Zaid,Alluvial,2023,35.55,190.6,27.7,40.9,5.0,44.6,24.9,37.8,39.29,1396.76
534,Karnataka,Wheat,Zaid,Black,2015,23.95,254.8,18.1,43.1,8.4,112.3,5.4,42.6,42.3,1013.08
535,Haryana,Cotton,Kharif,Sandy,2014,11.8,143.1,33.9,53.4,7.2,38.2,46.4,24.0,17.65,208.27
536,Karnataka,Barley,Zaid,Laterite,2010,38.73,160.6,34.3,76.6,6.6,28.3,23.6,23.1,23.44,907.83
537,Punjab,Barley,Rabi,Alluvial,2020,48.65,280.6,18.8,67.3,8.4,137.6,48.9,44.4,34.08,1657.99
538,Karnataka,Cotton,Zaid,Clay,2015,27.45,52.0,22.0,64.3,8.2,104.0,29.5,14.2,22.15,608.02
539,Tamil Nadu,Potato,Rabi,Clay,2022,49.6,99.3,22.5,32.4,5.8,107.0,45.7,10.7,35.08,1739.97
540,UP,Cotton,Rabi,Sandy,2010,5.97,57.0,34.9,68.5,5.5,112.9,45.0,49.4,19.68,117.49
541,Karnataka,Rice,Rabi,Red,2011,40.37,61.9,31.3,38.1,5.7,108.4,29.9,49.2,51.82,2091.97
542,Maharashtra,Soybean,Rabi,Red,2020,29.33,246.2,32.9,73.7,7.4,82.4,18.6,19.8,26.39,774.02
543,UP,Sugarcane,Kharif,Laterite,2021,34.0,156.4,25.3,36.0,6.2,35.6,16.8,8.5,68.96,2344.64
544,Gujarat,Barley,Zaid,Red,2020,6.79,155.9,26.0,90.5,6.5,136.8,50.3,11.5,36.37,246.95
545,Haryana,Potato,Zaid,Black,2021,20.73,103.2,26.8,78.5,8.3,64.3,57.4,32.1,37.02,767.42
546,Haryana,Rice,Kharif,Sandy,2015,46.87,126.2,24.4,49.1,4.6,37.1,48.1,24.0,50.66,2374.43
547,UP,Cotton,Kharif,Red,2023,22.89,234.9,15.1,65.6,4.8,25.4,31.5,18.9,20.7,473.82
548,Gujarat,Maize,Zaid,Black,2022,12.02,162.5,26.2,86.3,5.8,116.0,41.5,23.4,50.66,608.93
549,Punjab,Barley,Zaid,Red,2020,35.52,272.5,33.4,72.0,8.0,104.9,36.5,40.8,32.96,1170.74
550,Punjab,Wheat,Zaid,Black,2019,14.11,180.4,33.8,62.7,4.6,99.0,34.3,48.3,40.57,572.44
551,Gujarat,Soybean,Zaid,Black,2011,21.04,251.7,30.2,56.1,4.7,123.4,6.3,24.7,30.45,640.67
552,Haryana,Cotton,Kharif,Alluvial,2018,30.92,92.0,18.6,46.6,4.9,56.8,27.4,12.6,16.16,499.67
553,Punjab,Sugarcane,Kharif,Black,2014,10.53,147.5,23.0,56.8,5.8,65.1,50.5,10.4,75.29,792.8
554,Tamil Nadu,Potato,Zaid,Sandy,2011,1.42,117.3,23.0,66.0,4.8,23.5,39.8,46.1,28.85,40.97
555,UP,Wheat,Zaid,Black,2014,8.83,192.1,26.1,85.0,6.5,113.9,12.8,29.3,43.43,383.49
556,Gujarat,Potato,Kharif,Alluvial,2023,34.16,205.2,31.3,40.9,4.7,130.6,20.0,16.3,44.88,1533.1
557,Maharashtra,Sugarcane,Kharif,Clay,2010,49.94,90.4,28.4,34.5,4.9,103.8,50.7,37.6,75.97,3793.94
558,Maharashtra,Sugarcane,Rabi,Clay,2022,45.74,226.9,21.8,73.0,5.8,45.3,57.7,19.8,76.17,3484.02
559,Gujarat,Maize,Kharif,Clay,2010,39.47,275.4,31.8,56.9,8.1,104.4,46.9,29.2,48.84,1927.71
560,Haryana,Rice,Rabi,Clay,2015,6.68,293.0,24.4,69.1,6.0,120.7,49.7,49.3,57.13,381.63
561,Punjab,Sugarcane,Rabi,Black,2013,40.52,235.8,34.0,74.2,7.3,43.0,49.9,33.1,76.88,3115.18
562,Gujarat,Sugarcane,Rabi,Alluvial,2021,24.95,226.7,20.2,42.7,7.8,67.5,52.8,30.6,86.75,2164.41
563,UP,Soybean,Zaid,Clay,2011,14.08,197.0,33.6,38.3,8.2,122.7,53.5,37.8,28.13,396.07
564,Gujarat,Cotton,Zaid,Clay,2010,14.06,284.5,31.0,91.3,4.7,132.7,28.8,49.8,26.43,371.61
565,Punjab,Potato,Rabi,Laterite,2021,28.81,106.1,21.9,57.3,6.3,20.6,15.7,8.7,35.77,1030.53
566,MP,Barley,Kharif,Alluvial,2012,46.79,132.3,16.6,70.6,4.6,71.8,6.3,40.9,31.74,1485.11
567,Gujarat,Cotton,Kharif,Black,2013,22.21,289.7,35.8,83.4,6.6,48.4,9.0,32.0,23.52,522.38
568,Punjab,Wheat,Kharif,Alluvial,2016,31.5,128.3,36.2,34.2,5.0,130.3,29.3,18.6,41.2,1297.8
569,Punjab,Wheat,Zaid,Alluvial,2018,31.39,63.1,36.2,56.1,7.0,69.3,52.6,40.4,32.72,1027.08
570,Haryana,Barley,Zaid,Sandy,2015,35.81,212.7,31.9,31.7,6.6,90.5,10.9,5.6,30.87,1105.45
571,Maharashtra,Soybean,Kharif,Sandy,2015,22.07,155.3,33.1,58.9,5.5,115.6,8.3,19.0,29.79,657.47
572,UP,Cotton,Zaid,Sandy,2012,12.25,167.4,30.1,48.9,8.4,82.1,41.2,11.5,18.59,227.73
573,MP,Rice,Rabi,Laterite,2013,34.77,210.1,20.0,34.4,5.3,77.1,43.1,26.0,55.28,1922.09
574,Tamil Nadu,Sugarcane,Rabi,Sandy,2015,11.9,90.6,26.4,81.3,4.7,46.3,5.2,15.0,68.03,809.56
575,Karnataka,Soybean,Rabi,Black,2022,6.2,235.0,20.1,42.0,8.5,63.5,9.1,6.4,26.25,162.75
576,MP,Sugarcane,Kharif,Alluvial,2013,9.22,121.0,20.5,47.0,5.2,121.7,18.5,13.8,78.59,724.6
577,UP,Cotton,Kharif,Alluvial,2016,8.98,213.7,37.1,52.0,5.3,74.7,25.3,21.8,13.96,125.36
578,Haryana,Barley,Kharif,Clay,2012,31.99,270.7,18.3,42.3,6.6,103.3,22.5,24.3,35.03,1120.61
579,MP,Rice,Zaid,Sandy,2023,48.44,183.9,34.7,51.3,4.7,115.5,53.0,43.3,53.68,2600.26
580,Haryana,Wheat,Zaid,Laterite,2012,19.01,177.2,33.8,71.9,6.5,79.8,30.5,19.5,38.24,726.94
581,Gujarat,Potato,Rabi,Clay,2014,12.1,195.3,31.0,81.4,7.1,44.9,54.2,25.3,35.58,430.52
582,Karnataka,Barley,Kharif,Sandy,2014,31.25,187.6,18.4,35.5,6.3,62.2,37.1,25.9,34.79,1087.19
583,Tamil Nadu,Barley,Rabi,Laterite,2016,45.12,141.9,27.4,47.7,4.6,73.0,19.6,8.4,27.46,1239.0
584,Haryana,Wheat,Kharif,Red,2011,34.34,67.8,16.0,43.0,5.3,59.5,21.6,41.7,41.85,1437.13
585,UP,Cotton,Zaid,Black,2023,20.49,238.1,33.5,89.3,4.5,55.9,50.2,40.2,18.36,376.2
586,UP,Rice,Zaid,Laterite,2023,36.26,149.4,20.7,78.7,6.4,81.9,48.2,39.1,54.74,1984.87
587,Karnataka,Potato,Kharif,Red,2023,29.09,97.0,34.3,75.4,5.3,74.0,35.7,21.9,37.04,1077.49
588,Karnataka,Rice,Zaid,Laterite,2015,28.6,106.4,25.6,78.9,7.6,102.9,21.5,31.4,55.56,1589.02
589,Karnataka,Rice,Kharif,Black,2019,26.96,207.5,30.1,69.5,8.0,137.6,16.2,22.6,54.26,1462.85
590,Haryana,Potato,Rabi,Clay,2012,48.17,76.1,28.8,32.1,7.3,78.6,15.3,8.1,32.35,1558.3
591,Maharashtra,Cotton,Kharif,Black,2020,49.48,181.1,26.4,54.0,4.5,59.2,55.0,22.6,22.75,1125.67
592,UP,Wheat,Kharif,Laterite,2023,25.37,101.4,25.8,76.1,6.4,92.4,56.7,31.4,42.92,1088.88
593,Punjab,Potato,Kharif,Red,2012,23.4,161.4,35.6,69.3,5.5,59.5,36.3,27.1,34.29,802.39
594,Maharashtra,Potato,Zaid,Red,2016,45.59,203.3,35.2,41.4,5.5,128.0,45.3,25.6,37.78,1722.39
595,Haryana,Maize,Zaid,Clay,2016,3.8,224.7,16.1,87.6,5.1,125.9,34.6,35.0,51.66,196.31
596,Haryana,Potato,Zaid,Laterite,2015,23.38,69.1,17.6,79.8,5.8,74.1,18.9,27.8,27.88,651.83
597,Gujarat,Wheat,Zaid,Clay,2016,33.68,135.9,25.0,42.6,4.7,50.1,44.0,11.1,35.02,1179.47
598,MP,Wheat,Zaid,Sandy,2021,15.06,287.5,18.5,83.3,7.9,40.5,6.0,9.5,44.03,663.09
599,Punjab,Barley,Kharif,Black,2020,2.86,118.3,26.0,41.6,7.4,127.1,34.3,24.9,28.95,82.8
600,Maharashtra,Wheat,Zaid,Laterite,2017,5.02,63.1,15.1,80.2,7.6,131.5,25.6,15.7,39.7,199.29
601,Karnataka,Barley,Kharif,Alluvial,2023,8.77,98.0,31.7,44.3,8.0,115.6,50.7,12.6,28.1,246.44
602,MP,Sugarcane,Zaid,Red,2019,20.41,101.8,28.5,91.0,5.0,45.7,24.6,12.8,72.48,1479.32
603,MP,Sugarcane,Rabi,Alluvial,2017,38.49,105.0,31.4,48.1,7.0,25.3,53.7,23.5,61.33,2360.59
604,Karnataka,Maize,Kharif,Red,2020,16.24,224.1,31.9,93.2,7.3,59.8,39.9,44.8,46.61,756.95
605,Punjab,Potato,Rabi,Alluvial,2019,1.55,278.0,26.2,63.2,7.5,80.4,43.8,5.6,39.2,60.76
606,MP,Soybean,Rabi,Clay,2019,36.4,69.8,18.4,62.4,5.3,65.1,40.3,15.7,22.2,808.08
607,UP,Potato,Rabi,Clay,2014,11.84,129.4,34.7,32.6,7.7,69.8,49.7,38.8,32.36,383.14
608,MP,Soybean,Kharif,Sandy,2022,43.56,221.8,33.0,69.5,6.0,58.6,29.3,5.3,21.93,955.27
609,UP,Wheat,Kharif,Black,2013,23.62,81.4,19.3,65.7,7.7,44.5,32.9,24.2,38.91,919.05
610,MP,Barley,Zaid,Black,2014,20.21,121.3,26.2,71.3,5.6,113.8,9.4,48.8,32.78,662.48
611,Tamil Nadu,Maize,Rabi,Laterite,2018,4.62,202.3,25.8,40.1,8.3,77.8,46.9,24.2,48.9,225.92
612,UP,Maize,Zaid,Sandy,2014,10.19,145.1,22.6,48.4,6.7,77.7,23.3,37.2,44.02,448.56
613,Karnataka,Soybean,Kharif,Alluvial,2017,4.03,151.1,25.4,55.7,7.5,66.1,21.9,49.4,31.85,128.36
614,UP,Wheat,Zaid,Laterite,2013,18.72,240.7,38.9,80.1,7.5,61.8,44.0,33.6,34.22,640.6
615,Tamil Nadu,Rice,Rabi,Clay,2021,7.82,111.7,26.9,89.9,5.9,104.8,6.6,35.0,44.52,348.15
616,UP,Maize,Kharif,Red,2010,45.54,79.2,17.3,76.3,6.0,104.7,58.6,8.6,42.47,1934.08
617,Maharashtra,Barley,Rabi,Black,2021,36.52,125.6,39.2,72.8,6.0,57.0,27.6,44.4,29.87,1090.85
618,MP,Sugarcane,Rabi,Black,2021,26.49,149.5,22.7,94.2,7.8,20.2,8.8,36.3,75.39,1997.08
619,UP,Cotton,Rabi,Clay,2012,9.69,143.7,32.6,42.9,5.2,133.8,29.8,41.6,23.14,224.23
620,Gujarat,Soybean,Rabi,Red,2020,1.97,278.2,17.7,71.4,4.8,30.3,11.9,7.9,28.25,55.65
621,Haryana,Soybean,Rabi,Laterite,2010,0.86,65.3,33.8,30.5,6.8,138.5,10.3,28.5,15.87,13.65
622,Karnataka,Cotton,Rabi,Laterite,2019,19.23,157.4,24.3,87.9,8.5,118.0,56.8,34.9,18.9,363.45
623,Haryana,Rice,Rabi,Red,2010,14.33,164.2,32.5,77.1,8.1,36.7,38.1,44.1,46.4,664.91
624,Gujarat,Sugarcane,Zaid,Laterite,2018,2.76,153.3,19.7,94.1,8.3,117.5,5.9,21.2,73.08,201.7
625,MP,Sugarcane,Rabi,Clay,2019,33.09,171.1,33.5,81.6,5.9,132.7,56.8,26.4,77.8,2574.4
626,MP,Barley,Zaid,Red,2021,15.42,85.8,28.0,67.2,7.9,80.6,12.0,40.9,26.51,408.78
627,Haryana,Potato,Rabi,Black,2017,35.93,215.7,21.0,43.8,7.5,99.2,9.9,24.6,41.88,1504.75
628,Maharashtra,Barley,Kharif,Red,2020,34.74,169.1,37.4,38.0,5.0,84.1,44.9,9.1,34.22,1188.8
629,Haryana,Soybean,Zaid,Sandy,2020,22.13,135.8,37.8,78.3,7.4,98.5,48.2,48.5,24.96,552.36
630,Haryana,Cotton,Kharif,Alluvial,2015,29.06,235.1,38.4,78.4,5.0,64.1,51.9,47.9,23.27,676.23
631,MP,Rice,Kharif,Red,2023,29.74,147.0,25.6,80.1,7.7,132.1,11.9,34.9,53.17,1581.28
632,Maharashtra,Potato,Kharif,Red,2023,2.2,104.7,32.0,39.6,5.6,109.6,51.7,42.2,34.96,76.91
633,Haryana,Sugarcane,Zaid,Red,2014,49.07,299.2,32.7,61.1,7.8,79.4,43.7,22.0,75.87,3722.94
634,Punjab,Soybean,Kharif,Clay,2023,1.57,244.0,36.4,77.3,5.7,117.8,55.2,12.2,33.55,52.67
635,Gujarat,Barley,Rabi,Red,2015,19.99,239.4,24.8,64.3,5.6,103.6,15.7,43.5,37.74,754.42
636,Gujarat,Rice,Rabi,Clay,2020,36.9,90.9,18.4,75.2,5.7,37.4,17.0,38.7,51.68,1906.99
637,Haryana,Rice,Zaid,Red,2020,18.1,246.4,36.5,54.5,8.4,101.5,14.3,7.5,44.01,796.58
638,Karnataka,Wheat,Zaid,Sandy,2019,30.01,158.5,18.7,77.0,5.5,34.3,26.8,18.6,40.93,1228.31
639,Tamil Nadu,Maize,Zaid,Clay,2022,32.83,222.9,34.9,72.8,7.6,123.8,40.8,17.4,47.21,1549.9
640,MP,Wheat,Rabi,Alluvial,2010,50.0,196.7,39.7,61.2,7.3,31.3,37.6,22.3,37.75,1887.5
641,UP,Barley,Zaid,Red,2011,40.96,131.3,32.8,86.0,6.7,68.6,43.5,22.7,29.36,1202.59
642,Haryana,Wheat,Zaid,Sandy,2022,40.13,238.2,39.1,88.3,5.2,91.9,14.9,30.0,37.43,1502.07
643,MP,Wheat,Kharif,Alluvial,2020,27.45,90.3,29.1,85.3,4.6,137.6,32.8,21.4,34.79,954.99
644,Punjab,Rice,Rabi,Black,2018,49.84,276.2,22.3,64.7,5.1,78.9,22.2,46.0,58.31,2906.17
645,Punjab,Soybean,Kharif,Clay,2013,14.23,59.2,18.5,85.6,5.4,36.1,35.4,31.6,22.18,315.62
646,UP,Cotton,Rabi,Red,2016,13.84,164.0,38.6,74.0,8.3,37.2,16.2,33.3,12.88,178.26
647,UP,Soybean,Rabi,Clay,2016,26.81,255.4,22.9,81.2,6.0,135.7,18.6,17.2,30.46,816.63
648,Karnataka,Sugarcane,Kharif,Clay,2015,47.61,244.5,18.7,81.9,5.6,31.8,58.9,15.0,75.38,3588.84
649,Maharashtra,Wheat,Zaid,Black,2019,44.88,255.3,27.2,64.4,7.3,123.8,35.3,32.3,49.17,2206.75
650,Tamil Nadu,Barley,Rabi,Black,2017,13.73,198.1,21.5,74.6,7.4,98.9,12.8,30.5,39.75,545.77
651,Tamil Nadu,Sugarcane,Kharif,Clay,2021,36.06,164.4,26.0,53.0,6.4,54.4,57.4,28.4,77.02,2777.34
652,Karnataka,Wheat,Rabi,Red,2023,27.93,72.5,17.0,77.4,8.3,39.8,8.2,38.5,36.63,1023.08
653,UP,Potato,Rabi,Alluvial,2017,41.65,174.5,32.1,74.0,6.6,35.0,5.8,13.6,34.94,1455.25
654,Punjab,Sugarcane,Zaid,Black,2019,7.1,162.2,19.2,90.5,7.6,128.5,14.6,21.5,79.57,564.95
655,Gujarat,Sugarcane,Rabi,Alluvial,2016,14.86,92.6,39.2,52.0,7.2,119.8,51.8,43.6,71.35,1060.26
656,Tamil Nadu,Rice,Zaid,Clay,2013,42.49,280.8,38.2,92.3,6.6,127.2,56.4,45.2,56.14,2385.39
657,Gujarat,Rice,Kharif,Red,2015,10.28,124.6,17.7,52.7,7.4,68.2,5.5,24.4,43.3,445.12
658,Punjab,Barley,Rabi,Alluvial,2012,13.84,242.4,21.3,60.6,6.0,63.7,54.1,29.1,32.75,453.26
659,UP,Potato,Rabi,Clay,2012,20.03,138.4,25.8,53.4,8.0,43.8,15.4,6.8,31.9,638.96
660,Gujarat,Maize,Kharif,Clay,2020,39.13,295.7,18.0,61.8,6.5,101.8,12.0,38.8,45.59,1783.94
661,Tamil Nadu,Barley,Zaid,Sandy,2012,34.08,77.4,17.7,31.4,5.1,80.0,47.2,15.6,24.94,849.96
662,Maharashtra,Rice,Rabi,Laterite,2014,43.28,171.5,34.0,46.1,5.1,81.3,18.7,39.5,55.86,2417.62
663,MP,Soybean,Rabi,Clay,2017,31.91,226.6,35.2,75.6,6.5,41.7,59.6,31.6,25.28,806.68
664,UP,Rice,Kharif,Red,2016,11.48,54.4,20.0,86.2,6.0,83.0,43.5,49.1,51.68,593.29
665,Tamil Nadu,Barley,Kharif,Laterite,2020,9.5,62.9,17.8,53.6,8.3,105.4,18.6,45.3,34.84,330.98
666,Gujarat,Sugarcane,Rabi,Black,2014,1.18,277.1,17.5,42.0,8.3,63.6,21.7,9.4,78.99,93.21
667,Karnataka,Maize,Rabi,Red,2021,6.96,244.7,28.2,54.2,7.1,45.2,26.1,44.9,45.96,319.88
668,Gujarat,Soybean,Zaid,Black,2011,2.67,68.7,28.7,52.3,7.4,138.8,16.1,37.4,23.32,62.26
669,Maharashtra,Soybean,Zaid,Laterite,2022,3.85,263.4,37.7,93.4,8.1,73.8,44.5,46.0,21.41,82.43
670,Maharashtra,Rice,Zaid,Black,2021,25.0,291.9,22.2,92.1,4.7,136.7,15.5,41.7,61.98,1549.5
671,Tamil Nadu,Wheat,Rabi,Black,2018,44.02,244.8,25.0,47.6,5.2,39.2,17.0,36.4,41.63,1832.55
672,Maharashtra,Cotton,Kharif,Red,2021,14.25,117.1,18.0,44.6,6.6,55.0,40.2,47.4,16.81,239.54
673,MP,Maize,Kharif,Red,2023,44.26,102.5,17.9,72.2,7.0,136.7,22.9,47.6,48.57,2149.71
674,Punjab,Cotton,Kharif,Red,2023,46.98,138.9,33.3,48.2,5.5,21.9,41.2,44.1,17.58,825.91
675,Tamil Nadu,Wheat,Zaid,Clay,2020,31.68,114.3,30.7,69.3,5.3,73.1,22.8,14.2,39.49,1251.04
676,Tamil Nadu,Potato,Zaid,Black,2015,47.2,87.1,27.0,62.2,6.3,117.9,14.7,30.6,32.36,1527.39
677,Punjab,Maize,Rabi,Clay,2014,45.5,90.7,19.4,55.6,6.9,28.3,9.0,16.0,42.61,1938.75
678,Haryana,Maize,Kharif,Clay,2016,13.75,146.0,17.8,30.9,7.8,132.2,12.3,39.7,48.26,663.57
679,Karnataka,Rice,Kharif,Alluvial,2023,8.15,226.9,20.1,61.2,6.8,73.3,14.0,19.9,57.12,465.53
680,Haryana,Wheat,Kharif,Alluvial,2018,7.8,124.2,27.8,84.4,5.1,129.5,6.3,24.2,42.89,334.54
681,Tamil Nadu,Cotton,Zaid,Black,2020,18.19,271.1,35.6,37.3,5.2,33.2,10.6,48.0,17.87,325.06
682,UP,Wheat,Zaid,Alluvial,2012,14.71,157.2,23.4,41.8,6.2,127.2,42.8,33.1,42.48,624.88
683,Karnataka,Wheat,Rabi,Red,2014,16.35,252.7,32.8,35.0,4.5,132.0,13.2,34.5,40.0,654.0
684,Tamil Nadu,Potato,Kharif,Alluvial,2021,34.82,119.6,17.3,94.7,5.2,66.2,22.6,24.1,38.84,1352.41
685,Karnataka,Barley,Zaid,Sandy,2012,41.16,250.5,31.3,46.0,6.2,79.7,34.4,29.0,29.11,1198.17
686,MP,Barley,Zaid,Sandy,2021,5.95,71.8,24.0,43.2,7.9,63.5,31.1,11.0,29.47,175.35
687,Maharashtra,Sugarcane,Kharif,Red,2017,7.32,86.0,36.3,93.2,8.2,49.1,50.5,7.5,75.15,550.1
688,Tamil Nadu,Barley,Kharif,Clay,2015,7.49,63.5,17.7,67.8,6.4,91.3,13.7,11.6,28.12,210.62
689,Tamil Nadu,Soybean,Kharif,Alluvial,2012,22.48,241.4,26.7,39.1,6.6,133.9,30.9,37.5,30.06,675.75
690,Punjab,Wheat,Kharif,Black,2019,41.56,237.8,27.6,30.7,7.8,101.6,53.2,29.9,43.42,1804.54
691,Tamil Nadu,Cotton,Kharif,Clay,2012,19.92,118.0,17.3,54.5,8.3,109.2,27.0,7.5,25.49,507.76
692,Gujarat,Wheat,Rabi,Clay,2015,5.67,213.2,25.1,54.7,4.7,64.6,28.3,17.1,33.83,191.82
693,Punjab,Sugarcane,Rabi,Sandy,2013,32.1,120.6,28.5,34.2,6.9,110.8,22.0,29.8,77.02,2472.34
694,Punjab,Rice,Rabi,Sandy,2010,37.72,128.6,38.6,30.6,5.9,53.9,26.9,13.8,45.31,1709.09
695,Haryana,Sugarcane,Zaid,Black,2015,29.52,151.8,33.5,36.6,7.7,38.0,37.3,22.2,72.83,2149.94
696,Haryana,Maize,Rabi,Clay,2020,48.2,73.3,33.0,87.5,7.7,98.5,47.3,12.2,41.25,1988.25
697,Karnataka,Sugarcane,Kharif,Laterite,2014,30.71,140.1,36.4,58.0,8.1,112.9,26.3,14.4,75.64,2322.9
698,UP,Potato,Kharif,Alluvial,2022,46.74,267.6,28.7,93.0,7.6,30.5,10.2,19.1,36.44,1703.21
699,Karnataka,Maize,Rabi,Alluvial,2015,32.69,72.3,19.5,80.2,5.5,76.8,19.1,44.4,45.45,1485.76
700,Maharashtra,Potato,Rabi,Alluvial,2016,4.63,152.3,30.5,74.2,6.3,81.5,39.4,19.1,36.08,167.05
701,Maharashtra,Barley,Rabi,Sandy,2020,5.71,60.7,39.4,33.7,7.7,104.0,35.8,12.0,22.66,129.39
702,Gujarat,Wheat,Rabi,Black,2020,45.91,73.4,26.6,71.8,8.1,75.8,9.7,37.9,40.2,1845.58
703,Tamil Nadu,Barley,Kharif,Laterite,2015,27.48,66.1,23.6,69.3,5.4,109.0,11.3,25.5,30.84,847.48
704,Punjab,Soybean,Zaid,Red,2019,1.64,243.6,16.6,82.6,7.7,137.4,16.7,14.5,32.07,52.59
705,UP,Barley,Rabi,Red,2011,44.71,85.4,21.8,35.3,8.0,74.2,28.1,14.6,28.45,1272.0
706,UP,Barley,Rabi,Red,2013,34.8,137.3,25.5,60.9,7.3,39.3,43.3,21.0,29.13,1013.72
707,MP,Barley,Zaid,Alluvial,2011,36.79,230.7,29.5,39.4,7.2,118.8,45.4,42.1,40.62,1494.41
708,Haryana,Maize,Rabi,Laterite,2022,22.74,292.5,25.2,63.8,4.5,74.1,50.8,10.7,50.32,1144.28
709,MP,Wheat,Kharif,Alluvial,2016,47.78,224.1,34.4,69.1,5.4,45.2,15.5,35.6,37.01,1768.34
710,Haryana,Cotton,Zaid,Red,2021,17.12,174.8,40.0,56.9,5.9,119.4,28.4,48.8,22.56,386.23
711,Karnataka,Maize,Rabi,Laterite,2012,35.25,188.2,19.1,58.3,5.6,99.2,42.4,33.5,55.23,1946.86
712,Haryana,Wheat,Kharif,Alluvial,2020,25.42,54.1,38.3,36.7,7.5,94.9,35.0,33.5,32.98,838.35
